Damay ba kayo sa pldt? @Converge_CSU  wala naman annoucement ha #poorinternetspeed https://t.co/QFymAVv92s,Baby22boss,2020-09-25 03:40:10,"National Capital Region, Republic of the Philippines",0,0,Neutral_Tweet,tl
"RT @sscmnl_sc: Good Morning, High School! 🌤

As per the PLDT Advisory, the Institutional Academic Council has declared an Academic Health B…",myadvillanueva,2020-09-25 03:40:09,scho,12,0,Neutral_Tweet,tl
"first time ko nag delay sa cod, okay pldt, oks nalang basta di mawala. aaty",lorensudesu,2020-09-25 03:40:09,manta ray's ponytail,0,0,Neutral_Tweet,tl
@PLDT_Cares check DM. Thanks.,GioAllOver,2020-09-25 03:40:00,"Calamba City, Laguna",0,0,Neutral_Tweet,tl
"@GilberteC Sorry for the late reply, @GilberteC. Kindly send us your telephone number via DM, so we can check it. We'll be waiting.",PLDT_Cares,2020-09-25 03:40:00,Philippines,0,0,Neutral_Tweet,tl
@PLDT_Cares Reporting no internet for FibrBiz Acct. 0251161917.  You said that there is no internet service interru… https://t.co/nKw3Mv9CuV,bemabolo,2020-09-25 03:39:59,,1,0,Neutral_Tweet,tl
WALA PADING INTERNET AT WALA PADING NAGPPUNTA KAHIT NAKA ILANG FOLLOW UP NA! ANO NA @PLDT_Cares  @PLDTHome  MORE TH… https://t.co/tbgXfdWqir,Architec_Tin,2020-09-25 03:39:57,"Manila , Philippines",0,0,Neutral_Tweet,tl
RT @cnnphilippines: THREAD: Class suspensions under the new normal. Several schools cancel classes beginning today because of an emergency…,sarahelago,2020-09-25 03:39:57,Republic of the Philippines,86,0,Neutral_Tweet,tl
"Ambait ng sas ngayon hehe, una,  instead of sept. 21 submission of module 5 naging sept. 27 na. Tapos minoved pa yu… https://t.co/OEodmzoSiG",owssunny,2020-09-25 03:39:52,Universe Earth,0,0,Neutral_Tweet,tl
Umay pldt,babyymokoo,2020-09-25 03:39:51,puso mo,0,0,Neutral_Tweet,tl
"RT @VincentSaulon_: Unpopular opinion: USI exploited the maintenance fix of PLDT to make it look like a healthy self care day. No ma'am, if…",LJVelasquez12,2020-09-25 03:39:50,,82,0,Neutral_Tweet,tl
"RT @_rglnmy: Other schools: *suspends classes because of PLDT's 5-day maintenance*
My school: https://t.co/DeFLJg7TED",tinragay,2020-09-25 03:39:45,anime world :p,968,0,Neutral_Tweet,tl
"RT @ronbonostro: yeah, pahinga muna sa acads this day. thanks to PLDT maintenance",ttytshmytl,2020-09-25 03:39:43,Lost,34,0,Neutral_Tweet,tl
Honestly di ko na alam kung pano mag reach out sa pldt so I hope this thread blows up,aasweetcreature,2020-09-25 03:39:42,,0,0,Neutral_Tweet,tl
Siguro kaya ayaw tayo sagutin ng PLDT kasi hindi tayo kamuka ni Liza Soberano. Hoyyy may pera din naman ako. mas ma… https://t.co/BA0Dn7jxW8,Charleegrams,2020-09-25 03:39:41,Makati - City Of San Pedro,0,0,Neutral_Tweet,tl
"RT @ambrnth: PLDT: “PLDT customers might experience slow internet connection staring sept 25 until sept 30”

me: *pretends to be shocked* h…",BriellaaGil,2020-09-25 03:39:40,"Minglanilla, Central Visayas",195,0,Neutral_Tweet,tl
"RT @kimsongkoojung: kamusta naman mga wifi naten na pldt, globe, at skycable filo ikonics?? Kaya pa ba?",aigoopau,2020-09-25 03:39:40,PH 🇵🇭,1,0,Neutral_Tweet,tl
nag sugoood nag kahinay ang pldt skrrr,arimilksss,2020-09-25 03:39:39,I serge mo,0,0,Neutral_Tweet,tl
"@hannahkrstine Let’s see what we can do to sort this out, @hannahkrstine. Kindly send the following information via… https://t.co/0XdEbuVu48",PLDT_Cares,2020-09-25 03:39:37,Philippines,0,0,Neutral_Tweet,tl
AKALA KO AS IN MAWAWALAN NG CONNECTION  ANG PLDT! HIHINA LANG DAW! BUTI NAMAN GANON LANG! DAMING KAYANG GANAP NG BANGTAN...,mamshieBang,2020-09-25 03:39:35,BTS WORLD⟭⟬💜⟬⟭,0,3,Neutral_Tweet,tl
"RT @ronbonostro: yeah, pahinga muna sa acads this day. thanks to PLDT maintenance",ainnmrie,2020-09-25 03:39:34,GSC,34,0,Neutral_Tweet,tl
"Helloooo! If I have a batch mate or sino man na may internet problems, don’t hesitate to dm me. I’ll answer the sim… https://t.co/nuzapoDSzn",currtneeey,2020-09-25 03:39:31,Getting that MD,0,0,Neutral_Tweet,tl
@PLDT_Cares @PLDTHome @pldt REPLY TO MY DMS @PLDT @PLDTHome  @pldt,Riza83960322,2020-09-25 03:39:31,,0,0,Neutral_Tweet,tl
anlaki pa ng pinaload ko amputek na pldt yan,jysmllnedil,2020-09-25 03:39:30,"Tayug, Ilocos Region",0,1,Neutral_Tweet,tl
"RT @PLDTHome: PLDT Home Advisory 
[Sept. 24, 2020]

We're keeping you connected to ensure that you and your family continue to enjoy the st…",ratedfaygee,2020-09-25 03:39:29,"San Fernando, Pampanga",354,0,Neutral_Tweet,tl
converge anuena nauna kapa mawalan kesa sa pldt namin 🙂,maia_ds,2020-09-25 03:39:25,,0,0,Neutral_Tweet,tl
@pldt @manilabulletin @PLDT_Cares Talaga ba? Kabitan nyo muna kami. Dami nyo sinasabi babagal nyo naman kumilos,shermilane,2020-09-25 03:39:23,"Lungsod ng Antipolo, Rehiyon n",0,0,Neutral_Tweet,tl
async ang exam open sha from 7am-3pm so guds na rin i guess kaso pldt pls cooperate,paulouwu,2020-09-25 03:39:16,she/her • phcu ,0,0,Neutral_Tweet,tl
@softdonbelle HSHSHSHSHS PLDT SAKALAM,donbelinda,2020-09-25 03:39:12,💭,0,0,Neutral_Tweet,tl
pldt... you will be dealt with...,berwyndjn,2020-09-25 03:39:11,City of Davao,0,0,Neutral_Tweet,tl
RT @daisybritish: Sorry for unactive here in Twitter cmula kc naoperahan ako nd dw ako pwd mgpuyat sabi NG doctor😭gustong gusto ko sumali s…,LotaBalaga,2020-09-25 03:39:08,,1,0,Neutral_Tweet,tl
RT @biancake___: PLDT is more powerful than CHED,doobiekoolahh,2020-09-25 03:39:06,,4307,0,Neutral_Tweet,tl
"@ACEDP0RTGAS wala silang magagawa teh,, pldt din cla ih shajdhjdh",sugawoahra,2020-09-25 03:39:05,✧ any pronouns! read carrd! ✧,0,0,Neutral_Tweet,tl
@hypeniverse sa pldt?? meron pa yung mga kaibigan kooo mabilis daw,H00NICEPRINCE,2020-09-25 03:39:02,ph | she/her ,0,0,Neutral_Tweet,tl
"RT @immcr5: Ay shit nagparamdam na yunnet work maintenance ni pldt ...

MARIS RACAL GOES ALL OUT
@MissMarisRacal",RegsAquinde,2020-09-25 03:38:54,"Bocaue, Central Luzon",1,0,Neutral_Tweet,tl
RT @biancake___: PLDT is more powerful than CHED,shennnnnyy,2020-09-25 03:38:51,BTN-MNL,4307,0,Neutral_Tweet,tl
"@alyxcastillo_ We apologize for the late reply, @alyxcastillo_. Kindly send us your telephone number via DM for fur… https://t.co/czpC8wCU5Y",PLDT_Cares,2020-09-25 03:38:51,Philippines,0,0,Neutral_Tweet,tl
"RT @RWconnects: BREAKING: All synchronous classes, examinations, and assignment submissions in the University of the East (UE) Manila and C…",maeldita_,2020-09-25 03:38:49,🌈,124,0,Neutral_Tweet,tl
Nyeta kayo pldt anong may connection parin eh bukas pa ata magloload yung site jusq,chrstnmnvlle,2020-09-25 03:38:49,Las Piñas 🇵🇭☀️,0,0,Neutral_Tweet,tl
gusto ko nalang tawanan 'tong prof namin na hindi parin ni move 'yung quiz kahit na na notify siya na mabagal ang i… https://t.co/b2ozdLT1yS,lostsanitee,2020-09-25 03:38:47,beside you,0,0,Neutral_Tweet,tl
"RT @ameerabtst: “PLDT customers might experience SLOW INTERNET CONNECTIONS.”

my school: https://t.co/YjBAGQQDVO",sansayuhhh,2020-09-25 03:38:46,LJS's,340,0,Neutral_Tweet,tl
Salamat PLDT ;)),DweynD,2020-09-25 03:38:42,,0,0,Neutral_Tweet,tl
RT @biancake___: PLDT is more powerful than CHED,drealmaebel,2020-09-25 03:38:42,,4307,0,Neutral_Tweet,tl
"Our neighbor know this fact pala and everytime daw na may pumupuntang taga pldt dito, binabantay niya and tinatakot… https://t.co/xMrEAv7Au7",aasweetcreature,2020-09-25 03:38:40,,0,0,Neutral_Tweet,tl
bagal magopen ng elms ko :DDD pldt kase potek,parkjhzr,2020-09-25 03:38:37,  エニグマ | 200904 jk,0,0,Neutral_Tweet,tl
Sugod ng kahinay sa pldt,Pattwecia,2020-09-25 03:38:37,,0,0,Neutral_Tweet,tl
"Ano na, @PLDT_Cares pwede ba sumagot naman kayo sa concerns ng customers niyo?",uhnuhley,2020-09-25 03:38:35,"Manila, Ph",0,0,Neutral_Tweet,tl
